GRUPO,PRODUCTO (CBA),PRODUCTO (WEB),CONT. NETO,UNIDAD,PRECIO
CEREALES Y LEGUMBRES,FACTURAS,FACTURAS,1,UN.,
CEREALES Y LEGUMBRES,GALLETITAS SALADAS,GALLETITAS CRACKERS,303,GR.,
CEREALES Y LEGUMBRES,GALLETITAS DULCES,GALLETITAS SURTIDAS,398,GR.,
CEREALES Y LEGUMBRES,PAN RALLADO,PAN RALLADO,1,KG.,
CEREALES Y LEGUMBRES,PAN FRANCÉS,PAN FELIPE/FALUTITA,1,KG.,
CEREALES Y LEGUMBRES,ARROZ,ARROZ,1,KG.,
CEREALES Y LEGUMBRES,TAPAS FRESCAS PARA EMPANADAS,TAPA EMPANADAS,12,UN.,
CEREALES Y LEGUMBRES,TAPAS FRESCAS PARA TARTAS,PASCUALINA,2,UN.,
CEREALES Y LEGUMBRES,FIDEOS SECOS,TALLARIN,500,"GR,",
CEREALES Y LEGUMBRES,EMPANADAS Y TARTAS (CEREALES LISTOS PARA CONSUMIR),EMPANDA DE CARNE,1,UN.,
CEREALES Y LEGUMBRES,PIZZA-FAINȦ-FUGAZZA (CEREALES LISTOS PARA CONSUMIR),PIZZA,470,GR.,
CEREALES Y LEGUMBRES,HARINA DE TRIGO,HARINA 000,1,KG.,
CEREALES Y LEGUMBRES,LENTEJAS,LENTEJAS,400,GR.,
VERDURAS Y FRUTAS,BANANA,BANANA,1,KG.,
VERDURAS Y FRUTAS,MANDARINA,MANDARINA,1,KG.,
VERDURAS Y FRUTAS,MANZANA,MANZANA,1,KG.,
VERDURAS Y FRUTAS,NARANJA,NARANJA,1,KG.,
VERDURAS Y FRUTAS,ACELGA FRESCA,ACELGA,1,KG.,
VERDURAS Y FRUTAS,AJI FRESCO,AJI,1,KG.,
VERDURAS Y FRUTAS,BATATA FRESCA,BATATA,1,KG.,
VERDURAS Y FRUTAS,CEBOLLA COMÚN FRESCA,CEBOLLA,1,KG.,
VERDURAS Y FRUTAS,LECHUGA FRESCA,LECHUGA FRANCESA,1,KG.,
VERDURAS Y FRUTAS,PAPA FRESCA,PAPA,1,KG.,
VERDURAS Y FRUTAS,TOMATE REDONDO FRESCO,TOMATE,1,KG.,
VERDURAS Y FRUTAS,ZANAHORIA FRESCA,ZANAHORIA,1,KG.,
VERDURAS Y FRUTAS,ZAPALLITOS FRESCOS,ZAPALLITO,1,KG.,
VERDURAS Y FRUTAS,ZAPALLO FRESCO,ZAPALLO ANCO,1,KG.,
VERDURAS Y FRUTAS,TOMATES EN CONSERVA,TOMATES TRITURADOS,900,GR.,
"LECHE, YOGURES Y QUESOS",LECHE COMÚN ENTERA,LECHE ENTERA,1,LT.,
"LECHE, YOGURES Y QUESOS",QUESO DOBLE CREMA - CUARTIROLO,QUESO CREMOSO,1,KG.,
"LECHE, YOGURES Y QUESOS",QUESO DE MÁQUINA,QUESO BARRA,1,KG.,
"LECHE, YOGURES Y QUESOS",QUESO PARA RALLAR,QUESO REGGIANITO,1,KG.,
"LECHE, YOGURES Y QUESOS",YOGUR NATURAL O SABORIZADO,YOGURT NATURAL,300,GR.,
CARNES Y HUEVOS,CARNE PICADA,CARNE PICADA,1,KG.,
CARNES Y HUEVOS,ASADO,ASADO,1,KG.,
CARNES Y HUEVOS,CUADRIL,CUADRIL,1,KG.,
CARNES Y HUEVOS,NALGA,NALGA,1,KG.,
CARNES Y HUEVOS,CUADRADA,CUADRADA,1,KG.,
CARNES Y HUEVOS,PALETA,PALETA,1,KG.,
CARNES Y HUEVOS,POLLO ENTERO,POLLO,1,KG.,
CARNES Y HUEVOS,PALETA COCIDA,PALETA COCIDA,1,KG.,
CARNES Y HUEVOS,SALCHICHA TIPO VIENA CON Y SIN PIEL,SALCHICHA VIENA,6,UN.,
CARNES Y HUEVOS,MERLUZA,MERLUZA,1,KG.,
CARNES Y HUEVOS,ATÚN EN CONSERVA,ATÚN,170,GR.,
CARNES Y HUEVOS,HUEVO DE GALLINA ENTERO CRUDO,HUEVO,12,UN.,
CARNES Y HUEVOS,OTRO TIPO DE SANDWICHES (CARNES LISTAS PARA CONSUMIR),SANDWICH,2,UN.,
ACEITES Y GRASAS,ACEITE MEZCLA,ACEITE MEZCLA,900,CC.,
ACEITES Y GRASAS,MANTECA,MANTECA,200,GR.,
AZUCARES Y DULCES,AZÚCAR BLANCA MOLIDA,AZÚCAR,1,KG.,
AZUCARES Y DULCES,MERMELADA DE FRUTAS,MERMELADA,390,GR.,
AZUCARES Y DULCES,DULCE DE LECHE,DULCE DE LECHE,400,GR.,
BEBIDAS NO ALCOHOLICAS,GASEOSAS,GASEOSA COLA,1,LT.,
BEBIDAS NO ALCOHOLICAS,JUGOS Y REFRESCOS EN POLVO PARA PREPARAR BEBIDAS,JUGO,7,GR.,
BEBIDAS ALCOHOLICAS,VINO,VINO TINTO,1,LT.,
BEBIDAS ALCOHOLICAS,CERVEZA CON ALCOHOL,CERVEZA,473,CC.,
OTROS ALIMENTOS,YERBA MATE,YERBA MATE,1,KG.,
OTROS ALIMENTOS,TÉ COMÚN EN SAQUITOS,TE COMUN,25,UN.,
OTROS ALIMENTOS,CAFÉ MOLIDO O EN GRANO,CAFE MOLIDO,1,KG.,
OTROS ALIMENTOS,CALDOS CONCENTRADOS,CALDO,12,UN.,
OTROS ALIMENTOS,SAL FINA,SAL,500,GR.,
OTROS ALIMENTOS,VINAGRE,VINAGRE,1,LT.,
OTROS ALIMENTOS,SAL GRUESA,SAL GRUESA,1,KG.,
